time(ms),altitude(m),accel_y(m/s^2),bmpVel(m/s),imu_vel(m/s),imualt(m)
3371.0,1121.75,-111.469,451.8,433.752,1122.83
3377.0,1124.08,-111.39,388.167,433.084,1125.43
3382.0,1126.48,-111.28,479.6,432.528,1127.59
3388.0,1128.93,-111.126,408.167,431.861,1130.18
3394.0,1131.42,-110.948,414.5,431.195,1132.77
3399.0,1133.93,-110.718,502.2,430.641,1134.92
3405.0,1136.46,-110.523,422.0,429.978,1137.5
3411.0,1138.99,-110.284,421.0,429.316,1140.08
3417.0,1141.51,-109.998,419.5,428.656,1142.65
3423.0,1144.03,-109.675,420.167,427.998,1145.22
3429.0,1146.56,-109.33,422.333,427.342,1147.78
3435.0,1149.12,-108.974,426.5,426.688,1150.34
3441.0,1151.72,-108.619,433.833,426.036,1152.9
3447.0,1154.39,-108.278,444.667,425.386,1155.45
3454.0,1157.1,-107.962,387.571,424.63,1158.42
3460.0,1159.88,-107.694,462.5,423.984,1160.96
3467.0,1162.7,-107.482,402.429,423.232,1163.92
3474.0,1165.55,-107.332,407.0,422.481,1166.88
3480.0,1168.42,-107.24,478.333,421.838,1169.41
3487.0,1171.31,-107.196,412.429,421.088,1172.36
3494.0,1174.22,-107.18,415.429,420.338,1175.3
3501.0,1177.18,-107.186,422.286,419.588,1178.24
3508.0,1180.19,-107.238,430.571,418.837,1181.17
3516.0,1183.24,-107.246,381.75,417.979,1184.51
3523.0,1186.32,-107.206,439.857,417.229,1187.43
3530.0,1189.41,-107.065,440.857,416.48,1190.35
3538.0,1192.5,-106.83,385.75,415.625,1193.68
3545.0,1195.59,-106.524,441.143,414.879,1196.58
3553.0,1198.69,-106.143,388.0,414.03,1199.89
3560.0,1201.86,-105.704,452.143,413.29,1202.78
3568.0,1205.14,-105.305,409.75,412.448,1206.08
3577.0,1208.51,-104.994,374.444,411.503,1209.78
3585.0,1211.92,-104.836,426.375,410.664,1213.07
3593.0,1215.34,-104.803,427.375,409.826,1216.35
3602.0,1218.75,-104.892,379.111,408.882,1220.03
3610.0,1222.15,-105.119,424.875,408.041,1223.29
3618.0,1225.55,-105.331,424.625,407.198,1226.55
3627.0,1229.04,-105.457,388.0,406.249,1230.21
3635.0,1232.52,-105.437,434.875,405.406,1233.45
3643.0,1235.61,-105.284,386.5,404.564,1236.69
3651.0,1238.97,-104.995,420.375,403.724,1239.92
3660.0,1242.5,-104.568,392.222,402.783,1243.55
3669.0,1246.04,-104.125,393.333,401.846,1247.17
3678.0,1249.68,-103.727,405.0,400.912,1250.78
3687.0,1253.43,-103.433,417.0,399.981,1254.38
3696.0,1256.79,-103.286,373.778,399.051,1257.97
3704.0,1260.12,-103.221,415.875,398.225,1261.16
3714.0,1263.91,-103.225,379.2,397.193,1265.13
3723.0,1267.73,-103.307,424.222,396.263,1268.7
3733.0,1271.58,-103.41,385.2,395.229,1272.65
3743.0,1275.54,-103.466,396.1,394.194,1276.59
3753.0,1279.56,-103.427,402.3,393.16,1280.52
3763.0,1283.33,-103.289,377.0,392.127,1284.44
3773.0,1287.34,-103.014,401.1,391.097,1288.35
3783.0,1291.35,-102.639,400.7,390.071,1292.25
3794.0,1295.38,-102.238,366.273,388.946,1296.53
3804.0,1299.49,-101.819,411.4,387.928,1300.41
3815.0,1303.7,-101.424,383.0,386.812,1304.66
3825.0,1307.43,-101.191,373.0,385.8,1308.52
3835.0,1311.41,-101.077,397.8,384.789,1312.37
3846.0,1315.72,-101.046,391.455,383.677,1316.59
3858.0,1320.06,-101.118,361.5,382.464,1321.18
3869.0,1324.43,-101.161,397.0,381.351,1325.37
3879.0,1328.19,-101.073,375.7,380.34,1329.17
3888.0,1331.61,-100.855,379.667,379.432,1332.58
3898.0,1335.45,-100.471,384.4,378.427,1336.36
3910.0,1339.86,-99.881,367.5,377.228,1340.89
3922.0,1344.33,-99.224,372.333,376.037,1345.4
3934.0,1348.9,-98.656,380.5,374.853,1349.9
3944.0,1352.67,-98.306,377.2,373.87,1353.64
3954.0,1356.53,-98.103,386.2,372.889,1357.37
3967.0,1361.14,-98.015,354.615,371.615,1362.2
3979.0,1365.74,-97.933,383.5,370.44,1366.65
3992.0,1370.43,-97.692,360.692,369.17,1371.45
4003.0,1374.47,-97.37,367.091,368.099,1375.5
4013.0,1378.39,-96.966,392.4,367.129,1379.17
4026.0,1383.11,-96.342,363.231,365.877,1383.93
4039.0,1387.85,-95.651,364.385,364.634,1388.67
4052.0,1392.65,-94.943,369.077,363.4,1393.39
4066.0,1397.51,-94.301,347.071,362.08,1398.46
4078.0,1402.01,-93.822,374.917,360.954,1402.79
4092.0,1406.93,-93.411,351.643,359.646,1407.83
4106.0,1411.9,-92.958,355.071,358.345,1412.85
4120.0,1417.06,-92.364,368.357,357.052,1417.85
4135.0,1422.37,-91.692,354.067,355.677,1423.19
4150.0,1427.76,-91.063,359.533,354.311,1428.5
4166.0,1433.21,-90.598,340.937,352.861,1434.15
4181.0,1438.62,-90.031,361.0,351.511,1439.42
4195.0,1443.42,-89.346,342.643,350.26,1444.32
4209.0,1448.58,-88.343,368.571,349.023,1449.21
4225.0,1454.14,-87.233,347.375,347.627,1454.77
4242.0,1459.8,-86.221,333.176,346.161,1460.65
4258.0,1465.33,-85.449,345.625,344.794,1466.17
4275.0,1471.12,-84.761,340.882,343.353,1472.01
4292.0,1476.98,-84.001,344.882,341.925,1477.82
4309.0,1482.95,-83.176,351.118,340.511,1483.61
4324.0,1487.98,-82.344,335.667,339.276,1488.7
4338.0,1492.68,-81.407,335.429,338.136,1493.43
4356.0,1498.78,-79.983,338.944,336.696,1499.49
4375.0,1505.02,-78.513,328.158,335.204,1505.86
4392.0,1510.75,-77.382,337.294,333.889,1511.54
4407.0,1515.73,-76.573,332.067,332.74,1516.53
4427.0,1522.4,-75.651,333.65,331.227,1523.15
4447.0,1529.24,-75.126,341.8,329.724,1529.74
4469.0,1536.21,-74.478,316.909,328.085,1536.96
4490.0,1543.35,-73.63,340.143,326.539,1543.82
4513.0,1550.62,-72.786,316.174,324.865,1551.29
4536.0,1557.99,-72.099,320.435,323.207,1558.72
4559.0,1565.47,-71.61,325.217,321.56,1566.12
4582.0,1572.98,-71.163,326.652,319.923,1573.48
4606.0,1580.59,-70.518,317.208,318.231,1581.12
4630.0,1588.31,-69.669,321.583,316.559,1588.72
4655.0,1596.14,-68.758,313.24,314.84,1596.59
4681.0,1604.2,-67.937,310.038,313.074,1604.73
4696.0,1608.81,-67.597,307.6,312.06,1609.41
4715.0,1614.7,-67.332,309.842,310.781,1615.31
4743.0,1623.47,-66.932,313.393,308.907,1623.96
4767.0,1630.76,-66.524,303.542,307.31,1631.34
4782.0,1635.38,-66.129,307.867,306.318,1635.93
4799.0,1640.6,-65.514,307.118,305.204,1641.12
4824.0,1648.4,-64.594,312.0,303.589,1648.71
4855.0,1657.65,-63.76,298.516,301.612,1658.06
4875.0,1663.75,-63.338,304.9,300.345,1664.07
4906.0,1672.84,-62.866,293.226,298.396,1673.32
4939.0,1682.61,-61.86,296.061,296.355,1683.1
4942.0,1683.59,-61.749,326.0,296.17,1683.99
4946.0,1684.89,-61.587,324.25,295.924,1685.17
4953.0,1686.73,-61.382,263.571,295.494,1687.24
4962.0,1689.5,-61.122,308.0,294.944,1689.89
4976.0,1693.64,-60.709,295.929,294.094,1694.01
4997.0,1699.83,-60.0,294.857,292.834,1700.16
5023.0,1707.28,-58.926,286.423,291.302,1707.73
5051.0,1715.46,-57.875,292.214,289.682,1715.84
5072.0,1721.47,-57.253,286.143,288.48,1721.9
5093.0,1727.71,-56.795,297.19,287.287,1727.93
5126.0,1737.02,-56.197,282.242,285.432,1737.35
5153.0,1744.72,-55.543,285.074,283.932,1745.02
5176.0,1751.24,-54.753,283.304,282.673,1751.52
5211.0,1760.96,-53.702,277.686,280.793,1761.35
5242.0,1769.62,-53.031,279.258,279.149,1770.0
5288.0,1782.51,-52.059,280.217,276.754,1782.73
5331.0,1794.26,-51.283,273.233,274.549,1794.54
5359.0,1801.91,-50.677,273.393,273.13,1802.19
5390.0,1810.38,-49.827,273.129,271.585,1810.61
5437.0,1822.98,-48.678,268.085,269.297,1823.27
5457.0,1828.51,-48.277,276.35,268.331,1828.64
5488.0,1836.71,-48.062,264.677,266.841,1836.91
5518.0,1844.7,-47.524,266.467,265.415,1844.87
5545.0,1851.84,-46.83,264.296,264.151,1852.0
5586.0,1862.47,-46.01,259.268,262.265,1862.75
5623.0,1872.16,-45.341,261.919,260.587,1872.39
5657.0,1881.12,-44.89,263.5,259.061,1881.2
5707.0,1893.98,-44.298,257.3,256.846,1894.04
5738.0,1901.77,-43.898,251.161,255.485,1901.96
5766.0,1909.04,-43.308,259.679,254.272,1909.08
5809.0,1919.89,-42.513,252.233,252.444,1919.94
5847.0,1929.33,-42.071,248.368,250.845,1929.47
5897.0,1941.79,-41.324,249.1,248.779,1941.91
5947.0,1954.14,-40.759,246.98,246.741,1954.25
5997.0,1966.39,-39.827,245.02,244.75,1966.49
6017.0,1971.3,-39.676,245.7,243.956,1971.37
6047.0,1978.64,-39.666,244.767,242.766,1978.65
6073.0,1984.86,-39.46,239.308,241.74,1984.94
6092.0,1989.54,-39.16,246.316,240.996,1989.52
6117.0,1995.37,-38.67,233.04,240.029,1995.52
6153.0,2004.06,-37.979,241.444,238.662,2004.11
6185.0,2011.72,-37.56,239.313,237.46,2011.71
6212.0,2017.87,-37.371,227.741,236.451,2018.09
6251.0,2027.05,-37.179,235.359,235.001,2027.26
6299.0,2038.44,-36.648,237.313,233.242,2038.46
6338.0,2047.3,-36.208,227.154,231.83,2047.5
6388.0,2058.81,-35.455,230.14,230.057,2059.0
6418.0,2065.78,-35.187,232.433,229.001,2065.87
6456.0,2074.49,-34.978,229.132,227.672,2074.52
6506.0,2085.79,-34.4,225.94,225.952,2085.82
6556.0,2097.0,-34.03,224.2,224.25,2097.03
6606.0,2108.13,-33.839,222.56,222.558,2108.16
6626.0,2112.46,-33.769,216.35,221.883,2112.6
6644.0,2116.43,-33.539,220.667,221.279,2116.58
6665.0,2121.06,-33.139,220.381,220.583,2121.21
6696.0,2127.97,-32.546,222.871,219.574,2128.02
6721.0,2133.37,-32.085,215.84,218.772,2133.49
6734.0,2136.06,-31.912,207.231,218.357,2136.33
6745.0,2138.44,-31.812,216.636,218.007,2138.73
6755.0,2140.78,-31.778,233.8,217.689,2140.91
6767.0,2143.37,-31.809,216.167,217.307,2143.52
6783.0,2146.87,-31.904,218.75,216.797,2146.99
6808.0,2152.1,-32.058,209.16,215.996,2152.39
6838.0,2158.51,-32.078,213.6,215.034,2158.84
6853.0,2161.81,-32.022,219.933,214.554,2162.06
6868.0,2164.91,-31.907,207.0,214.075,2165.27
6882.0,2168.09,-31.721,227.0,213.631,2168.26
6900.0,2171.84,-31.436,208.278,213.065,2172.1
6927.0,2177.45,-31.017,207.63,212.228,2177.83
6966.0,2185.82,-30.49,214.487,211.039,2186.06
6990.0,2190.79,-30.255,207.125,210.313,2191.11
7012.0,2195.34,-30.185,206.909,209.649,2195.72
7044.0,2202.14,-30.192,212.562,208.683,2202.4
7093.0,2212.28,-29.685,206.98,207.228,2212.55
7129.0,2219.57,-29.522,202.639,206.165,2219.97
7176.0,2229.19,-29.214,204.638,204.792,2229.6
7226.0,2239.35,-28.81,203.12,203.351,2239.77
7271.0,2248.41,-28.617,201.333,202.063,2248.86
7321.0,2258.43,-28.315,200.44,200.647,2258.89
7371.0,2268.38,-27.859,199.06,199.254,2268.85
7408.0,2275.74,-27.548,198.919,198.235,2276.18
7437.0,2281.5,-27.389,198.586,197.441,2281.91
7471.0,2288.23,-27.449,197.853,196.508,2288.59
7521.0,2297.97,-27.549,194.8,195.131,2298.35
7536.0,2300.86,-27.592,192.733,194.717,2301.27
7550.0,2303.49,-27.497,188.071,194.332,2303.99
7564.0,2306.18,-27.263,191.857,193.95,2306.71
7583.0,2309.78,-26.908,189.263,193.439,2310.39
7611.0,2315.16,-26.387,192.071,192.7,2315.79
7643.0,2321.35,-25.923,193.5,191.87,2321.93
7656.0,2323.84,-25.755,191.692,191.535,2324.42
7667.0,2325.96,-25.631,192.727,191.253,2326.52
7677.0,2327.85,-25.552,189.2,190.997,2328.43
7687.0,2329.67,-25.504,181.9,190.742,2330.34
7696.0,2331.5,-25.485,203.333,190.513,2332.05
7706.0,2333.43,-25.545,193.3,190.258,2333.95
7719.0,2335.81,-25.694,182.846,189.924,2336.42
7738.0,2339.36,-25.974,186.842,189.43,2340.02
7766.0,2344.67,-26.435,189.714,188.69,2345.3
7779.0,2347.09,-26.632,186.308,188.344,2347.75
7789.0,2348.94,-26.716,184.9,188.077,2349.63
7798.0,2350.58,-26.743,182.333,187.836,2351.32
7806.0,2352.13,-26.695,194.0,187.622,2352.82
7814.0,2353.69,-26.592,195.375,187.409,2354.32
7823.0,2355.33,-26.445,182.444,187.171,2356.0
7833.0,2357.13,-26.245,179.7,186.909,2357.87
7844.0,2359.22,-25.977,190.0,186.623,2359.92
7859.0,2361.99,-25.624,184.933,186.239,2362.71
7881.0,2366.14,-25.142,188.818,185.686,2366.8
7915.0,2372.34,-24.677,182.5,184.847,2373.08
7932.0,2375.4,-24.556,179.765,184.43,2376.22
7947.0,2378.12,-24.511,181.533,184.062,2378.98
7961.0,2380.85,-24.466,195.071,183.719,2381.55
7977.0,2383.68,-24.442,176.625,183.328,2384.48
7995.0,2386.88,-24.448,177.889,182.888,2387.77
8019.0,2391.3,-24.474,184.0,182.301,2392.15
8055.0,2397.89,-24.516,183.083,181.418,2398.68
8093.0,2404.61,-24.468,176.974,180.488,2405.54
8113.0,2408.23,-24.345,180.85,180.001,2409.14
8134.0,2411.97,-24.147,178.0,179.494,2412.91
8160.0,2416.71,-23.892,182.269,178.873,2417.56
8200.0,2423.79,-23.608,176.975,177.929,2424.68
8242.0,2431.17,-23.654,175.738,176.936,2432.11
8270.0,2436.12,-23.632,176.643,176.274,2437.05
8295.0,2440.47,-23.534,174.2,175.686,2441.44
8325.0,2445.7,-23.397,174.2,174.984,2446.69
8370.0,2453.46,-23.033,172.356,173.948,2454.52
8420.0,2462.07,-22.538,172.3,172.821,2463.16
8439.0,2465.38,-22.343,174.421,172.396,2466.44
8455.0,2468.17,-22.284,174.187,172.039,2469.19
8472.0,2471.09,-22.348,171.824,171.659,2472.11
8498.0,2475.46,-22.503,168.192,171.074,2476.56
8537.0,2481.99,-22.651,167.538,170.191,2483.2
8567.0,2487.05,-22.669,168.5,169.511,2488.29
8589.0,2490.78,-22.575,169.773,169.014,2492.01
8613.0,2494.77,-22.451,166.375,168.475,2496.05
8639.0,2499.25,-22.282,172.269,167.896,2500.42
8673.0,2504.77,-21.945,162.471,167.15,2506.1
8722.0,2513.02,-21.503,168.306,166.096,2514.24
8756.0,2518.61,-21.302,164.529,165.372,2519.86
8784.0,2523.15,-21.213,162.179,164.778,2524.47
8813.0,2527.83,-21.224,161.345,164.163,2529.23
8856.0,2534.81,-21.32,162.419,163.246,2536.25
8906.0,2542.9,-21.225,161.78,162.185,2544.36
8956.0,2550.93,-21.134,160.6,161.128,2552.42
8991.0,2556.55,-20.977,160.657,160.394,2558.03
9034.0,2563.49,-20.692,161.395,159.504,2564.89
9084.0,2571.39,-20.372,157.94,158.485,2572.81
9134.0,2579.23,-20.068,156.86,157.482,2580.68
9161.0,2583.41,-19.98,154.815,156.943,2584.92
9188.0,2587.67,-19.995,157.704,156.403,2589.14
9230.0,2594.03,-20.022,151.333,155.562,2595.67
9280.0,2601.73,-20.018,153.94,154.561,2603.4
9328.0,2609.15,-19.948,154.5,153.603,2610.77
9363.0,2614.53,-19.891,153.771,152.907,2616.12
9397.0,2619.68,-19.836,151.529,152.233,2621.3
9428.0,2624.27,-19.61,148.0,151.625,2626.0
9473.0,2631.11,-19.165,152.089,150.763,2632.78
9509.0,2636.37,-18.855,146.111,150.084,2638.18
9527.0,2639.08,-18.743,150.444,149.747,2640.88
9543.0,2641.49,-18.683,150.438,149.448,2643.27
9559.0,2643.85,-18.677,147.25,149.149,2645.66
9576.0,2646.45,-18.72,152.706,148.831,2648.19
9599.0,2649.81,-18.819,145.957,148.398,2651.6
9633.0,2654.83,-19.041,147.676,147.751,2656.62
9683.0,2662.14,-19.247,146.2,146.789,2663.96
9702.0,2664.85,-19.286,142.421,146.423,2666.74
9719.0,2667.35,-19.28,146.882,146.095,2669.22
9736.0,2669.74,-19.226,140.529,145.768,2671.7
9753.0,2672.2,-19.142,144.941,145.443,2674.17
9771.0,2674.88,-19.096,148.833,145.099,2676.78
9790.0,2677.6,-19.003,143.211,144.738,2679.53
9811.0,2680.55,-18.754,140.667,144.344,2682.56
9842.0,2684.97,-18.283,142.581,143.777,2687.02
9882.0,2690.64,-17.921,141.75,143.06,2692.74
9898.0,2693.03,-17.819,149.563,142.775,2695.02
9914.0,2695.17,-17.739,133.5,142.491,2697.3
9928.0,2697.14,-17.684,141.071,142.243,2699.29
9941.0,2699.08,-17.651,149.462,142.014,2701.14
9955.0,2701.07,-17.663,142.214,141.767,2703.12
9971.0,2703.31,-17.745,140.187,141.483,2705.38
9994.0,2706.43,-17.891,135.87,141.072,2708.62
10027.0,2711.1,-17.926,141.545,140.48,2713.26
10077.0,2718.05,-18.055,138.96,139.577,2720.24
10101.0,2721.34,-18.145,137.125,139.142,2723.58
10120.0,2723.97,-18.198,138.526,138.796,2726.22
10137.0,2726.35,-18.206,140.176,138.486,2728.57
10154.0,2728.68,-18.159,137.118,138.177,2730.92
10172.0,2731.15,-18.022,137.056,137.853,2733.4
10195.0,2734.21,-17.825,133.0,137.443,2736.56
10228.0,2738.79,-17.656,138.667,136.86,2741.08
10278.0,2745.55,-17.423,135.24,135.989,2747.88
10309.0,2749.63,-17.31,131.484,135.452,2752.08
10333.0,2752.89,-17.265,135.792,135.038,2755.32
10357.0,2756.08,-17.185,133.042,134.626,2758.55
10383.0,2759.59,-17.013,135.115,134.184,2762.04
10413.0,2763.58,-16.852,132.9,133.678,2766.05
10445.0,2767.74,-16.741,130.094,133.142,2770.31
10473.0,2771.52,-16.67,135.036,132.675,2774.02
10497.0,2774.68,-16.645,131.875,132.276,2777.19
10519.0,2777.58,-16.669,131.864,131.909,2780.09
10542.0,2780.53,-16.717,128.435,131.525,2783.12
10567.0,2783.72,-16.802,127.48,131.105,2786.4
10594.0,2787.34,-16.914,134.148,130.648,2789.93
10625.0,2791.23,-17.042,125.548,130.12,2793.96
10651.0,2794.59,-17.122,129.308,129.675,2797.33
10673.0,2797.43,-17.217,128.909,129.296,2800.17
10691.0,2799.71,-17.25,126.5,128.986,2802.49
10707.0,2801.76,-17.204,128.312,128.711,2804.55
10723.0,2803.82,-17.076,128.437,128.438,2806.61
10741.0,2806.09,-16.905,126.278,128.134,2808.92
10762.0,2808.78,-16.664,128.286,127.784,2811.6
10790.0,2812.35,-16.337,127.429,127.327,2815.17
10823.0,2816.56,-16.097,127.606,126.796,2819.35
10850.0,2819.93,-15.972,124.704,126.365,2822.76
10875.0,2823.03,-15.732,123.92,125.972,2825.91
10892.0,2825.15,-15.6,124.647,125.707,2828.05
10906.0,2826.94,-15.552,127.786,125.489,2829.81
10920.0,2828.68,-15.57,124.071,125.271,2831.56
10936.0,2830.57,-15.611,118.0,125.021,2833.56
10953.0,2832.74,-15.687,127.588,124.754,2835.68
10976.0,2835.51,-15.848,120.304,124.389,2838.54
11009.0,2839.65,-16.087,125.333,123.858,2842.63
11047.0,2844.23,-16.24,120.447,123.241,2847.31
11071.0,2847.14,-16.332,121.208,122.849,2850.26
11091.0,2849.57,-16.369,121.65,122.522,2852.71
11109.0,2851.83,-16.327,125.611,122.228,2854.91
11129.0,2854.18,-16.211,117.35,121.904,2857.35
11152.0,2856.95,-16.047,120.391,121.535,2860.15
11184.0,2860.78,-15.897,119.844,121.026,2864.02
11230.0,2866.37,-15.646,121.587,120.306,2869.55
11280.0,2872.31,-15.336,118.84,119.539,2875.53
11309.0,2875.66,-15.178,115.379,119.099,2878.98
11331.0,2878.28,-15.094,119.045,118.767,2881.59
11352.0,2880.72,-15.041,115.952,118.451,2884.08
11373.0,2883.16,-15.02,116.333,118.136,2886.56
11396.0,2885.85,-15.024,117.0,117.79,2889.27
11424.0,2889.11,-15.05,116.607,117.369,2892.56
11463.0,2893.67,-15.173,116.974,116.777,2897.11
11513.0,2899.43,-15.4,115.3,116.007,2902.91
11541.0,2902.71,-15.423,117.071,115.575,2906.15
11566.0,2905.55,-15.479,113.52,115.188,2909.03
11589.0,2908.08,-15.532,110.043,114.831,2911.67
11609.0,2910.42,-15.537,116.85,114.52,2913.96
11629.0,2912.73,-15.497,115.35,114.21,2916.24
11651.0,2915.16,-15.421,110.545,113.871,2918.75
11675.0,2917.89,-15.321,113.75,113.503,2921.47
11703.0,2921.05,-15.174,112.964,113.078,2924.64
11739.0,2924.98,-14.953,109.278,112.54,2928.69
11780.0,2929.63,-14.552,113.317,111.943,2933.28
11806.0,2932.41,-14.336,107.115,111.57,2936.18
11823.0,2934.38,-14.254,115.706,111.328,2938.07
11840.0,2936.15,-14.197,104.294,111.087,2939.96
11855.0,2937.84,-14.148,113.0,110.875,2941.62
11870.0,2939.49,-14.093,110.267,110.664,2943.28
11885.0,2941.1,-14.054,107.533,110.453,2944.94
11900.0,2942.72,-14.029,108.067,110.243,2946.59
11915.0,2944.39,-14.116,111.6,110.031,2948.24
11935.0,2946.53,-14.254,106.9,109.746,2950.43
11964.0,2949.72,-14.477,109.931,109.326,2953.6
12008.0,2954.48,-14.787,108.159,108.675,2958.38
12035.0,2957.38,-14.873,107.444,108.273,2961.3
12056.0,2959.65,-14.898,108.048,107.96,2963.57
12076.0,2961.7,-14.895,102.5,107.662,2965.72
12094.0,2963.66,-14.86,109.111,107.395,2967.65
12113.0,2965.64,-14.793,104.211,107.114,2969.69
12132.0,2967.72,-14.695,109.684,106.835,2971.72
12154.0,2970.05,-14.57,106.136,106.514,2974.06
12182.0,2972.92,-14.435,102.357,106.11,2977.03
12221.0,2977.09,-14.244,106.821,105.554,2981.15
12271.0,2982.29,-13.993,103.96,104.854,2986.39
12315.0,2986.77,-13.858,101.909,104.244,2990.98
12340.0,2989.38,-13.892,104.28,103.897,2993.58
12365.0,2991.92,-13.863,101.48,103.55,2996.17
12389.0,2994.39,-13.794,102.708,103.219,2998.65
12413.0,2996.86,-13.745,102.792,102.889,3001.12
12440.0,2999.55,-13.714,99.519,102.519,3003.89
12472.0,3002.84,-13.799,102.781,102.077,3007.16
12521.0,3007.75,-13.861,100.184,101.398,3012.13
12571.0,3012.74,-13.809,99.86,100.708,3017.17
12610.0,3016.59,-13.818,98.744,100.169,3021.08
12639.0,3019.49,-13.834,100.138,99.768,3023.97
12667.0,3022.18,-13.804,96.214,99.381,3026.75
12695.0,3024.95,-13.74,98.75,98.996,3029.52
12727.0,3028.09,-13.639,98.0,98.56,3032.67
12771.0,3032.35,-13.49,96.886,97.966,3036.98
12821.0,3037.18,-13.413,96.54,97.295,3041.84
12871.0,3041.97,-13.435,95.74,96.623,3046.67
12918.0,3046.4,-13.456,94.277,95.991,3051.18
12954.0,3049.84,-13.488,95.694,95.505,3054.62
12989.0,3053.17,-13.489,95.029,95.033,3057.95
13028.0,3056.79,-13.478,92.744,94.507,3061.64
13075.0,3061.12,-13.364,92.213,93.879,3066.05
13125.0,3065.74,-13.212,92.46,93.218,3070.71
13175.0,3070.33,-13.001,91.8,92.568,3075.34
13220.0,3074.45,-12.863,91.6,91.989,3079.48
13253.0,3077.46,-12.865,91.152,91.564,3082.5
13290.0,3080.78,-12.799,89.676,91.09,3085.87
13328.0,3084.19,-12.853,89.763,90.602,3089.31
13378.0,3088.65,-12.922,89.12,89.956,3093.81
13428.0,3093.07,-12.994,88.38,89.306,3098.28
13478.0,3097.46,-13.092,87.78,88.651,3102.71
13524.0,3101.44,-13.155,86.609,88.046,3106.76
13558.0,3104.44,-13.134,88.147,87.599,3109.74
13592.0,3107.34,-12.992,85.412,87.157,3112.7
13636.0,3111.12,-12.794,85.864,86.594,3116.51
13686.0,3115.37,-12.616,85.06,85.963,3120.81
13736.0,3119.6,-12.494,84.52,85.338,3125.08
13786.0,3123.79,-12.363,83.78,84.72,3129.32
13836.0,3127.95,-12.196,83.2,84.11,3133.53
13872.0,3130.96,-12.126,83.639,83.673,3136.54
13905.0,3133.62,-12.128,80.515,83.273,3139.29
13940.0,3136.5,-12.26,82.314,82.844,3142.19
13990.0,3140.57,-12.312,81.38,82.228,3146.3
14040.0,3144.61,-12.309,80.72,81.613,3150.38
14090.0,3148.61,-12.453,80.04,80.99,3154.43
14140.0,3152.59,-12.477,79.54,80.366,3158.45
14190.0,3156.53,-12.482,78.82,79.742,3162.44
14240.0,3160.44,-12.462,78.26,79.119,3166.4
14290.0,3164.32,-12.437,77.7,78.497,3170.32
14340.0,3168.18,-12.306,77.1,77.882,3174.21
14390.0,3171.99,-12.137,76.3,77.275,3178.07
14440.0,3175.78,-12.061,75.88,76.672,3181.9
14490.0,3179.54,-11.845,75.26,76.08,3185.7
14540.0,3183.27,-11.684,74.66,75.496,3189.47
14585.0,3186.64,-11.62,74.978,74.973,3192.84
14627.0,3189.68,-11.57,72.405,74.487,3195.97
14666.0,3192.54,-11.591,73.308,74.035,3198.86
14712.0,3195.9,-11.729,73.065,73.495,3202.24
14762.0,3199.5,-11.852,72.02,72.902,3205.89
14812.0,3203.07,-11.918,71.42,72.306,3209.51
14862.0,3206.61,-11.978,70.84,71.707,3213.1
14912.0,3210.12,-12.161,70.24,71.099,3216.65
14949.0,3212.67,-12.218,68.865,70.647,3219.26
14981.0,3214.88,-12.076,69.063,70.261,3221.51
15020.0,3217.62,-11.872,70.333,69.798,3224.23
15070.0,3221.04,-11.71,68.36,69.213,3227.69
15120.0,3224.42,-11.683,67.68,68.629,3231.12
15170.0,3227.78,-11.598,67.22,68.049,3234.52
15220.0,3231.11,-11.483,66.58,67.475,3237.89
15270.0,3234.41,-11.375,65.96,66.906,3241.24
15320.0,3237.68,-11.218,65.36,66.345,3244.56
15369.0,3240.83,-11.136,64.245,65.799,3247.78
15409.0,3243.43,-11.058,65.1,65.357,3250.39
15444.0,3245.67,-11.014,64.0,64.972,3252.66
15478.0,3247.8,-11.01,62.794,64.598,3254.86
15514.0,3250.08,-11.056,63.389,64.2,3257.17
15560.0,3252.96,-11.174,62.674,63.686,3260.1
15610.0,3256.07,-11.285,62.24,63.122,3263.26
15660.0,3259.15,-11.463,61.68,62.549,3266.39
15710.0,3262.21,-11.544,61.14,61.972,3269.49
15758.0,3265.14,-11.489,60.979,61.421,3272.44
15808.0,3268.13,-11.473,59.86,60.847,3275.48
15857.0,3271.02,-11.312,58.98,60.293,3278.43
15907.0,3273.96,-11.191,58.8,59.733,3281.42
15957.0,3276.87,-11.042,58.24,59.181,3284.38
16007.0,3279.76,-10.942,57.72,58.634,3287.31
16057.0,3282.61,-10.944,57.06,58.087,3290.21
16107.0,3285.44,-11.0,56.66,57.537,3293.09
16157.0,3288.24,-10.975,56.1,56.988,3295.94
16207.0,3291.02,-10.819,55.6,56.447,3298.76
16257.0,3293.77,-10.703,54.96,55.912,3301.56
16307.0,3296.49,-10.695,54.38,55.377,3304.33
16357.0,3299.18,-10.852,53.86,54.834,3307.07
16407.0,3301.85,-10.853,53.4,54.291,3309.78
16457.0,3304.49,-10.875,52.8,53.747,3312.47
16507.0,3307.1,-10.998,52.26,53.197,3315.13
16557.0,3309.69,-10.932,51.76,52.65,3317.76
16607.0,3312.25,-10.897,51.12,52.105,3320.37
16657.0,3314.78,-10.983,50.54,51.556,3322.95
16707.0,3317.28,-11.11,50.0,51.0,3325.5
16757.0,3319.76,-11.103,49.52,50.445,3328.02
16807.0,3322.2,-11.188,48.88,49.886,3330.51
